Timestamp,Conductivity,Temperature,Pressure,Turbidity,Depth,Salinity,Specific Conductivity,Density Anomaly,Speed of sound
28/09/2023 14:13:20.000,-0.002640901,18.91270416,10.39431403,-0.042800594,0.259679331,0,-2.988348867,-1.57532378,1479.142018
28/09/2023 14:13:21.000,-0.0024215,18.9265293,10.39434219,0.00987706,0.259707257,0,-2.739263319,-1.57801827,1479.18572
28/09/2023 14:13:22.000,-0.003394499,18.94785524,10.39435157,-0.022447864,0.259716566,0,-3.838176303,-1.582178833,1479.2531
28/09/2023 14:13:23.000,-0.002221176,18.98334796,10.39437973,0.05058252,0.259744493,0,-2.509571546,-1.589114023,1479.365156
28/09/2023 14:13:24.000,-0.003003391,19.02039942,10.39452051,0.014665938,0.259884126,0,-3.390637157,-1.596367704,1479.482022
28/09/2023 14:13:25.000,-0.003547126,19.06213821,10.3947833,0.021849254,0.260144776,0,-4.00087811,-1.604556193,1479.613537
28/09/2023 14:13:26.000,-0.002125784,19.10517638,10.39494598,-0.035617278,0.26030613,0,-2.395496032,-1.613019648,1479.74899
28/09/2023 14:13:27.000,-0.002621823,19.12506336,10.39497727,-0.024842303,0.26033716,0,-2.953206121,-1.616937324,1479.811527
28/09/2023 14:13:28.000,-0.002688597,19.1477214,10.39504297,-0.053575569,0.260402322,0,-3.026944909,-1.621405913,1479.882737
28/09/2023 14:13:29.000,-0.002249794,19.18425103,10.39500543,0.012271499,0.260365087,0,-2.530932052,-1.628622456,1479.997451
28/09/2023 14:13:30.000,-0.004186253,19.2114139,10.39516498,0.470806537,0.260523338,0,-4.7066266,-1.633996952,1480.082682
28/09/2023 14:13:31.000,-0.002812607,19.22107319,10.39497414,0.664756083,0.260334057,0,-3.161573755,-1.635911195,1480.112971
28/09/2023 14:13:32.000,-0.002469196,19.24119008,10.39507738,0.467214878,0.260436455,0,-2.774356303,-1.639898783,1480.176036
28/09/2023 14:13:33.000,-0.003709292,19.25204064,10.39545906,0.609683989,0.260815018,0,-4.16674244,-1.642049888,1480.210043
28/09/2023 14:13:34.000,-0.002726754,19.25909637,10.39498353,0.786872463,0.260343366,0,-3.06256883,-1.643452674,1480.23214
28/09/2023 14:13:35.000,-0.002803068,19.27614323,10.39504297,0.673136619,0.260402322,0,-3.147130017,-1.646838485,1480.285528
28/09/2023 14:13:36.000,-0.002650441,19.30032766,10.39520252,0.454045465,0.260560574,0,-2.974226041,-1.651646921,1480.36123
28/09/2023 14:13:37.000,-0.002545509,19.30800922,10.39551537,-1.779965972,0.260870872,0,-2.856005877,-1.653174296,1480.385269
28/09/2023 14:13:38.000,-0.002249794,19.30388,10.39504297,0.507920339,0.260402322,0,-2.524443122,-1.652354574,1480.372342
28/09/2023 14:13:39.000,-0.002955695,19.29321824,10.39570308,-0.860501458,0.26105705,0,-3.317276827,-1.65023024,1480.33899
28/09/2023 14:13:40.000,-0.00326095,19.29247313,10.39640073,-0.640213085,0.261749015,0,-3.659932795,-1.650078831,1480.33667
28/09/2023 14:13:41.000,-0.002144863,19.31716654,10.39518062,-2.404914509,0.260538853,0,-2.406017018,-1.65499918,1480.413908
28/09/2023 14:13:42.000,-0.002965234,19.31573725,10.39544967,-1.788346508,0.260805709,0,-3.326377256,-1.654713295,1480.409442
28/09/2023 14:13:43.000,-0.003165558,19.31693172,10.39584073,-0.797048829,0.261193581,0,-3.55100751,-1.654949383,1480.413184
28/09/2023 14:13:44.000,-0.004005008,19.32204667,10.39577816,-1.954760007,0.261131522,0,-4.492179675,-1.655968502,1480.42918
28/09/2023 14:13:45.000,-0.004434272,19.32462976,10.39536833,-0.038011717,0.260725032,0,-4.973384656,-1.656485007,1480.437251
28/09/2023 14:13:46.000,-0.003566204,19.33331367,10.39533079,0.506723119,0.260687796,0,-3.99903464,-1.65821578,1480.464402
28/09/2023 14:13:47.000,-0.003232332,19.33779629,10.39522755,0.252912602,0.260585398,0,-3.624292443,-1.659109901,1480.478413
28/09/2023 14:13:48.000,-0.001629746,19.33812305,10.39536207,-4.868792074,0.260718826,0,-1.827359871,-1.659174434,1480.479437
28/09/2023 14:13:49.000,-0.002888921,19.33199138,10.39542777,-2.56773635,0.260783988,0,-3.239640951,-1.657951767,1480.46027
28/09/2023 14:13:50.000,-0.003671136,19.3055235,10.39548096,1.02033025,0.260836739,0,-4.119153178,-1.652679669,1480.377492
28/09/2023 14:13:51.000,-0.003184636,19.25280588,10.3953871,0.9185666,0.26074365,0,-3.577324005,-1.642202098,1480.21244
28/09/2023 14:13:52.000,-0.003327724,19.22268996,10.39545906,1.028710786,0.260815018,0,-3.740472706,-1.636229322,1480.118049
