Latitude, Longitude, Data Value
46, -73, -999
46, -72, -999
46, -71, -999
46, -70, -999
46, -69, -999
46, -68, -999
46, -67, -999
46, -66, -999
46, -65, -999
46, -64, -999
46, -63, 91.045
46, -62, 83.2183
46, -61, -999
46, -60, 80.9548
46, -59, 85.7609
46, -58, 90.7312
46, -57, 95.7801
46, -56, 83.4481
46, -55, 90.4923
46, -54, 110.164
46, -53, 136.484
46, -52, 142.778
46, -51, 123.584
46, -50, 119.994
46, -49, 103.232
46, -48, 67.7034
46, -47, 39.4002
46, -46, 22.6984
46, -45, 21.469
46, -44, -40.4339
46, -43, -76.2713
46, -42, -105.025
46, -41, -84.6367
46, -40, -11.4077
46, -39, -6.80574
46, -38, -30.6254
46, -37, -14.5041
46, -36, -13.9744
46, -35, 1.13794
46, -34, 0.95775
46, -33, -41.8059
46, -32, -39.276
46, -31, 1.03661
46, -30, -9.32639
46, -29, 75.2308
46, -28, 111.66
46, -27, -4.36978
46, -26, -26.7456
46, -25, -24.9262
46, -24, 3.00052
46, -23, 38.3493
45, -85, -999
45, -84, -999
45, -83, -999
45, -82, -999
45, -81, -999
45, -80, -999
45, -79, -999
45, -78, -999
45, -77, -999
45, -76, -999
45, -75, -999
45, -74, -999
45, -73, -999
45, -72, -999
45, -71, -999
45, -70, -999
45, -69, -999
45, -68, -999
45, -67, 47.5594
45, -66, 26.6745
45, -65, -999
45, -64, -999
45, -63, 89.9384
45, -62, 72.3467
45, -61, 74.6534
45, -60, 72.6816
45, -59, 70.1478
45, -58, 66.0459
45, -57, 42.8273
45, -56, 40.3041
45, -55, 55.5909
45, -54, 53.3843
45, -53, 53.5658
45, -52, 50.2878
45, -51, 113.313
45, -50, 108.356
45, -49, 49.2335
45, -48, -40.342
45, -47, -68.3379
45, -46, -39.5314
45, -45, -7.82235
45, -44, -50.4018
45, -43, -67.5282
45, -42, -35.4032
45, -41, 25.0827
45, -40, 168.742
45, -39, 131.053
45, -38, -63.2749
45, -37, -115.244
45, -36, 42.1128
45, -35, 116.499
45, -34, 69.4186
45, -33, 58.0825
45, -32, 54.8649
45, -31, -11.3348
45, -30, -69.4626
45, -29, 10.7095
45, -28, 108.986
45, -27, 54.9299
45, -26, -14.0163
45, -25, -37.1505
45, -24, -11.8775
45, -23, 62.3216
44, -85, -999
44, -84, -999
44, -83, -999
44, -82, -999
44, -81, -999
44, -80, -999
44, -79, -999
44, -78, -999
44, -77, -999
44, -76, -999
44, -75, -999
44, -74, -999
44, -73, -999
44, -72, -999
44, -71, -999
44, -70, 85.5062
44, -69, 114.721
44, -68, 103.057
44, -67, 95.3148
44, -66, -999
44, -65, 102.231
44, -64, 100.901
44, -63, 61.7096
44, -62, 45.4585
44, -61, 57.11
44, -60, 35.1439
44, -59, 9.54653
44, -58, -3.30424
44, -57, -43.0596
44, -56, -0.185388
44, -55, 22.1101
44, -54, 20.317
44, -53, 42.0998
44, -52, 52.9481
44, -51, 71.2367
44, -50, 68.4806
44, -49, 16.3401
44, -48, -69.608
44, -47, -117.497
44, -46, -71.1961
44, -45, -77.5186
44, -44, -236.844
44, -43, -272.897
44, -42, -162.857
44, -41, -15.6618
44, -40, 57.0132
44, -39, 20.2894
44, -38, -27.6176
44, -37, -19.8913
44, -36, 76.3373
44, -35, 60.9746
44, -34, -26.5237
44, -33, -33.4686
44, -32, -38.6561
44, -31, -93.3351
44, -30, -87.9536
44, -29, 4.26703
44, -28, 76.7975
44, -27, 46.9605
44, -26, -3.11754
44, -25, -1.16833
44, -24, 10.7614
44, -23, 27.6243
43, -85, -999
43, -84, -999
43, -83, -999
43, -82, -999
43, -81, -999
43, -80, -999
43, -79, -999
43, -78, -999
43, -77, -999
43, -76, -999
43, -75, -999
43, -74, -999
43, -73, -999
43, -72, -999
43, -71, 82.5458
43, -70, 81.5301
43, -69, 95.7179
43, -68, 101.373
43, -67, 94.7641
43, -66, 84.2067
43, -65, 72.0254
43, -64, 49.3877
43, -63, 30.0172
43, -62, 33.6767
43, -61, 4.68903
43, -60, -3.68563
43, -59, -4.97147
43, -58, -81.7896
43, -57, -149.436
43, -56, -143.38
43, -55, -115.284
43, -54, -60.0503
43, -53, -19.237
43, -52, -15.5923
43, -51, 1.36537
43, -50, -5.70183
43, -49, -16.5754
43, -48, -83.5137
43, -47, -56.1174
43, -46, 63.9736
43, -45, 90.2231
43, -44, -45.8299
43, -43, -116.472
43, -42, -20.5615
43, -41, 64.6313
43, -40, 82.6395
43, -39, 3.07812
43, -38, 6.29797
43, -37, 63.37
43, -36, 53.5074
43, -35, -9.12989
43, -34, -64.6477
43, -33, -85.6289
