,0
629,-1239296
630,-1239296
631,-1239296
632,-1242304
633,-1239296
634,-1239296
635,-1242304
636,-1242304
637,-1239296
638,-1239296
639,-1242304
640,-1242304
641,-1239296
642,-1236288
643,-1242304
644,-1239296
645,-1239296
646,-1239296
647,-1239296
648,-1242304
649,-1239296
650,-1236288
651,-1242304
652,-1239296
653,-1239296
654,-1242304
655,-1239296
656,-1242304
657,-1239296
658,-1239296
659,-1242304
660,-1242304
661,-1242304
662,-1242304
663,-1239296
664,-1242304
665,-1242304
666,-1239296
667,-1236288
668,-1242304
669,-1242304
670,-1239296
671,-1236288
672,-1245312
673,-1239296
674,-1242304
675,-1242304
676,-1242304
677,-1242304
678,-1242304
679,-1236288
680,-1242304
681,-1242304
682,-1239296
683,-1239296
684,-1242304
685,-1242304
686,-1242304
687,-1242304
688,-1245312
689,-1242304
690,-1242304
691,-1242304
692,-1242304
693,-1242304
694,-1242304
695,-1239296
696,-1242304
697,-1242304
698,-1242304
699,-1242304
700,-1239296
701,-1242304
702,-1242304
703,-1239296
704,-1242304
705,-1242304
706,-1242304
707,-1242304
708,-1239296
709,-1245312
710,-1242304
711,-1242304
712,-1242304
713,-1242304
714,-1242304
715,-1242304
716,-1239296
717,-1245312
718,-1242304
719,-1242304
720,-1245312
721,-1242304
722,-1242304
723,-1245312
724,-1242304
725,-1245312
726,-1242304
727,-1242304
728,-1242304
729,-1242304
730,-1242304
731,-1242304
732,-1242304
733,-1245312
734,-1242304
735,-1242304
736,-1242304
737,-1239296
738,-1245312
739,-1245312
740,-1242304
741,-1245312
742,-1242304
743,-1242304
744,-1245312
745,-1242304
746,-1245312
747,-1245312
748,-1242304
749,-1242304
750,-1245312
751,-1242304
752,-1245312
753,-1242304
754,-1245312
755,-1242304
756,-1242304
757,-1242304
758,-1245312
759,-1245312
760,-1245312
761,-1242304
762,-1245312
763,-1242304
764,-1242304
765,-1242304
766,-1242304
767,-1245312
768,-1242304
769,-1242304
770,-1245312
771,-1245312
772,-1242304
773,-1245312
774,-1242304
775,-1245312
776,-1245312
777,-1242304
778,-1245312
779,-1245312
780,-1242304
781,-1242304
782,-1242304
783,-1248320
784,-1245312
785,-1239296
786,-1245312
787,-1245312
788,-1245312
789,-1242304
790,-1242304
791,-1248320
792,-1245312
793,-1242304
794,-1245312
795,-1245312
796,-1245312
797,-1242304
798,-1242304
799,-1248320
800,-1245312
801,-1242304
802,-1245312
803,-1245312
804,-1245312
805,-1245312
806,-1242304
807,-1245312
808,-1245312
809,-1245312
810,-1245312
811,-1245312
812,-1245312
813,-1245312
814,-1242304
815,-1248320
816,-1245312
817,-1245312
818,-1245312
819,-1245312
820,-1248320
821,-1245312
822,-1245312
823,-1248320
824,-1245312
825,-1245312
826,-1245312
827,-1245312
828,-1245312
829,-1245312
830,-1245312
831,-1245312
832,-1245312
833,-1245312
834,-1245312
835,-1245312
836,-1245312
837,-1245312
838,-1242304
839,-1245312
840,-1245312
841,-1245312
842,-1245312
843,-1245312
844,-1248320
845,-1245312
846,-1242304
847,-1245312
848,-1245312
849,-1245312
850,-1245312
851,-1242304
852,-1248320
853,-1245312
854,-1245312
855,-1248320
856,-1245312
857,-1245312
858,-1245312
859,-1245312
860,-1248320
861,-1245312
862,-1245312
863,-1245312
864,-1245312
865,-1248320
866,-1245312
867,-1242304
868,-1248320
869,-1245312
870,-1248320
871,-1248320
872,-1245312
873,-1245312
874,-1245312
875,-1245312
876,-1248320
877,-1245312
878,-1248320
879,-1245312
880,-1245312
881,-1248320
882,-1248320
883,-1245312
884,-1248320
885,-1245312
886,-1248320
887,-1248320
888,-1242304
889,-1248320
890,-1248320
891,-1245312
892,-1248320
893,-1248320
894,-1245312
895,-1248320
896,-1242304
897,-1248320
898,-1248320
899,-1245312
900,-1248320
901,-1245312
902,-1248320
903,-1248320
904,-1242304
905,-1248320
906,-1245312
907,-1245312
908,-1248320
909,-1245312
910,-1248320
911,-1248320
912,-1245312
913,-1248320
914,-1248320
915,-1248320
916,-1248320
917,-1245312
918,-1248320
919,-1248320
920,-1248320
921,-1248320
922,-1248320
923,-1248320
924,-1248320
925,-1245312
926,-1251328
927,-1248320
928,-1245312
929,-1248320
930,-1245312
931,-1248320
932,-1248320
933,-1245312
934,-1251328
935,-1248320
936,-1245312
937,-1248320
938,-1245312
939,-1248320
940,-1248320
941,-1242304
942,-1251328
943,-1248320
944,-1245312
945,-1248320
946,-1245312
947,-1251328
948,-1248320
949,-1245312
950,-1248320
951,-1248320
952,-1248320
953,-1248320
954,-1245312
955,-1251328
956,-1248320
957,-1248320
958,-1248320
959,-1248320
960,-1248320
961,-1248320
962,-1242304
963,-1251328
964,-1248320
965,-1245312
966,-1245312
967,-1248320
968,-1248320
969,-1248320
970,-1251328
971,-1248320
972,-1248320
973,-1248320
974,-1248320
975,-1248320
976,-1248320
977,-1248320
978,-1245312
979,-1248320
980,-1248320
981,-1248320
982,-1248320
983,-1245312
984,-1251328
985,-1248320
986,-1248320
987,-1248320
988,-1248320
989,-1251328
990,-1248320
991,-1245312
992,-1248320
993,-1248320
994,-1245312
995,-1248320
996,-1248320
997,-1248320
998,-1248320
999,-1245312
1000,-1251328
1001,-1248320
1002,-1248320
1003,-1248320
1004,-1248320
1005,-1248320
1006,-1248320
1007,-1245312
1008,-1248320
1009,-1248320
1010,-1251328
1011,-1248320
1012,-1245312
1013,-1251328
1014,-1251328
1015,-1245312
1016,-1248320
1017,-1248320
1018,-1248320
1019,-1248320
1020,-1248320
1021,-1251328
1022,-1248320
1023,-1245312
1024,-1248320
1025,-1248320
1026,-1248320
1027,-1248320
1028,-1245312
1029,-1251328
1030,-1248320
1031,-1248320
1032,-1248320
1033,-1248320
1034,-1248320
1035,-1248320
1036,-1245312
1037,-1251328
1038,-1248320
1039,-1248320
1040,-1248320
1041,-1248320
1042,-1251328
1043,-1248320
1044,-1248320
1045,-1251328
1046,-1248320
1047,-1248320
1048,-1248320
1049,-1248320
1050,-1251328
1051,-1248320
1052,-1248320
1053,-1248320
1054,-1248320
1055,-1248320
1056,-1248320
1057,-1245312
1058,-1251328
1059,-1248320
1060,-1248320
1061,-1248320
1062,-1248320
1063,-1251328
1064,-1248320
1065,-1242304
1066,-1251328
1067,-1251328
1068,-1248320
1069,-1248320
1070,-1248320
1071,-1251328
1072,-1248320
1073,-1245312
1074,-1251328
1075,-1251328
1076,-1251328
1077,-1248320
1078,-1248320
1079,-1254336
1080,-1248320
1081,-1248320
1082,-1251328
1083,-1248320
1084,-1251328
1085,-1251328
1086,-1248320
1087,-1251328
1088,-1248320
1089,-1248320
1090,-1251328
1091,-1248320
1092,-1248320
1093,-1251328
1094,-1248320
1095,-1251328
1096,-1248320
1097,-1248320
1098,-1251328
1099,-1248320
1100,-1248320
1101,-1248320
1102,-1242304
1103,-1251328
1104,-1251328
1105,-1248320
1106,-1251328
1107,-1248320
1108,-1251328
1109,-1248320
1110,-1248320
